id,name,is_real_startup,country,city,sector,founded_year,website,description,employees,crunchbase_id,fiscal_year,currency,revenue,cogs,gross_profit,operating_expenses,ebitda,depreciation,ebit,interest_expense,taxes,net_income,cash,total_assets,total_liabilities,equity,mrr,arr,cac,ltv,churn_rate,customers_count,arpu,burn_rate_monthly,runway_months,gross_margin_pct
4707,Harmon Gardner and Hudson,False,BR,Jonesport,Fintech,2018,https://harmongardnerandhudson.com,Child well near spend father discuss same organization six activity per.,29,harmon-gardner-and-hudson,2023,USD,338663,121001,217662,16933,200729,0,200729,3386,6773,193956,53163,376499,166931,209568,,338663,1342.11,671.06,0.0908,405,69.63,6058.09,8.78,0.6427
4708,Ortiz Group,False,US,South Nicole,Energy,2011,https://ortizgroup.com,Answer indicate full fill guess create raise street explain according.,21,ortiz-group,2023,USD,696397,278223,418174,196217,221957,7931,214026,6963,13927,200099,19590,566556,28327,538229,,696397,633.63,1441.79,0.0134,237,244.58,1000.0,19.59,0.6005
4709,Perez-Smith,False,ZA,Robertville,AI/ML,2018,https://perez-smith.com,End across over wife hair citizen late line.,21,perez-smith,2023,USD,315912,94838,221074,215928,5146,0,5146,3159,6318,-1172,20140,221470,51763,169707,,315912,467.67,1710.33,0.0322,396,66.45,1000.0,20.14,0.6998
4710,Bradford Kim and Mcfarland,False,DE,East Jennifer,AI/ML,2009,https://bradfordkimandmcfarland.com,Section include blue feeling indicate price couple.,13,bradford-kim-and-mcfarland,2023,EUR,1455777,438848,1016929,432963,583966,0,583966,14557,29115,554851,37829,919739,480987,438752,,1455777,85.06,182.05,0.0579,448,270.25,24350.5,1.55,0.6985
4711,Evans-Johnson,False,BR,Fosterfurt,Marketplaces,2008,https://evans-johnson.com,Summer edge accept actually play rest research less protect.,16,evans-johnson,2023,USD,1512041,830961,681080,425937,255143,0,255143,15120,30240,224903,189875,990570,263789,726781,,1512041,1013.06,4379.51,0.0042,778,161.91,30993.9,6.13,0.4504
4712,Simmons Cruz and George,False,DE,Jamesshire,HealthTech,2020,https://simmonscruzandgeorge.com,Age whether certainly total treat apply yard provide.,18,simmons-cruz-and-george,2023,EUR,625707,263340,362367,107336,255031,33976,221055,6257,12514,208541,48748,512892,197681,315211,52142.25,625707,31.87,167.77,0.0459,10428,5.0,9298.5,5.24,0.5791
4713,Howard-Moore,False,DE,Port Emmafurt,Marketplaces,2014,https://howard-moore.com,Continue fear law mouth could PM.,24,howard-moore,2023,EUR,815883,447526,368357,444698,-76341,0,-76341,8158,16317,-92658,18616,457946,129016,328930,,815883,1761.51,15360.94,0.043,3399,20.0,41305.32,0.45,0.4515
4714,Rose Jones and Fuller,False,IN,Crystalbury,Mobility,2012,https://rosejonesandfuller.com,Billion total response first mission here option season themselves.,20,rose-jones-and-fuller,2023,USD,4036404,2347751,1688653,670738,1017915,0,1017915,40364,80728,937187,46245,2171977,108598,2063379,,4036404,830.61,2595.97,0.1372,12952,25.97,26305.9,1.76,0.4184
4715,Luna LLC,False,EG,South Heathershire,HealthTech,2023,https://lunallc.com,From thank certain spend lay across important know fight.,14,luna-llc,2023,USD,3184850,1216112,1968738,1439905,528833,2337,526496,31848,63697,462799,66243,1799676,1061249,738427,265404.17,3184850,248.11,1772.88,0.001,5640,47.05,144576.69,0.46,0.6182
4716,Jones Lane and Gonzalez,False,IN,South Jameschester,HealthTech,2014,https://joneslaneandgonzalez.com,West even thank truth these yeah until join natural.,15,jones-lane-and-gonzalez,2023,USD,542867,184300,358567,255325,103242,0,103242,5428,10857,92385,2870,424308,64109,360199,45238.92,542867,10.0,40.92,0.001,9047,5.0,66095.85,0.04,0.6605
4717,Davis Young and Peterson,False,BR,Coxburgh,Fintech,2024,https://davisyoungandpeterson.com,Certain manage need price mean total purpose rich talk.,24,davis-young-and-peterson,2023,USD,644253,225186,419067,305029,114038,0,114038,6442,12885,101153,32936,513932,328559,185373,,644253,20.0,60.66,0.0625,248,216.34,34352.67,0.96,0.6505
4718,Lopez-Buchanan,False,ZA,New Benjamin,Cybersecurity,2014,https://lopez-buchanan.com,Spend major situation organization imagine newspaper left low.,18,lopez-buchanan,2023,USD,1131121,386836,744285,1054889,-310604,0,-310604,11311,22622,-333226,236919,851108,132847,718261,,1131121,397.2,704.3,0.001,4713,20.0,99015.12,2.39,0.658
4719,Russell Cannon and Jones,False,US,West Samanthaton,Energy,2010,https://russellcannonandjones.com,This pull official character produce develop time.,23,russell-cannon-and-jones,2023,USD,668299,266857,401442,218186,183256,0,183256,6682,13365,169891,15826,459208,22960,436248,,668299,1084.18,542.09,0.0633,2784,20.0,11447.72,1.38,0.6007
4720,Thomas Inc,False,EG,New Seth,AI/ML,2014,https://thomasinc.com,Above walk authority several magazine section amount north majority each.,23,thomas-inc,2023,USD,1922494,649313,1273181,939861,333320,21679,311641,19224,38449,273192,157266,1137764,275404,862360,,1922494,1303.81,651.9,0.0446,1732,92.45,90995.22,1.73,0.6623
4721,Mclean Hughes and Cooper,False,ZA,Brooksmouth,HealthTech,2009,https://mcleanhughesandcooper.com,Wrong yeah drug perhaps return community feeling western.,16,mclean-hughes-and-cooper,2023,USD,305797,119962,185835,131216,54619,0,54619,3057,6115,48504,9349,226604,137197,89407,25483.08,305797,10.0,30.79,0.0398,216,117.74,15250.88,0.61,0.6077
4722,Phillips PLC,False,TN,New Stephanie,Cybersecurity,2016,https://phillipsplc.com,Stand garden detail nearly person defense heart yeah.,25,phillips-plc,2023,USD,689621,123337,566284,471739,94545,11548,82997,6896,13792,69205,54167,501802,25090,476712,,689621,20.0,129.9,0.0781,461,124.62,32272.65,1.68,0.8212
4723,Stein LLC,False,KE,Birdfort,Energy,2015,https://steinllc.com,Go bar player quality might.,25,stein-llc,2023,USD,1579234,213773,1365461,1309708,55753,21256,34497,15792,31584,2913,46136,868316,408232,460084,,1579234,972.11,1124.01,0.001,6580,20.0,133357.12,0.35,0.8646
4724,White Freeman and Allen,False,BR,West Jennifer,E-commerce,2023,https://whitefreemanandallen.com,Ask heavy figure crime environment hard population job your rise now.,29,white-freeman-and-allen,2023,USD,506965,83049,423916,124672,299244,42658,256586,5069,10139,246447,11841,290258,101822,188436,,506965,20.0,25.58,0.0135,2112,20.0,1000.0,11.84,0.8362
4725,Smith-Miller,False,NG,South Martin,Marketplaces,2013,https://smith-miller.com,Skill ever minute church key or tough later control.,20,smith-miller,2023,USD,1015122,214907,800215,761712,38503,0,38503,10151,20302,18201,185766,734476,322867,411609,,1015122,1452.36,9996.95,0.0438,299,282.65,47582.94,3.9,0.7883
4726,Marshall Inc,False,IN,New Edwardfurt,EdTech,2017,https://marshallinc.com,Great fire strong piece day listen within water author.,23,marshall-inc,2023,USD,141108,95553,45555,116717,-71162,1407,-72569,1411,2822,-75391,21519,250011,52804,197207,11759.0,141108,442.41,906.45,0.024,183,63.95,14081.99,1.53,0.3228
4727,Flores Group,False,BR,New Stephenville,Mobility,2023,https://floresgroup.com,Finish month wife life data quite keep attention force.,13,flores-group,2023,USD,222166,70035,152131,134622,17509,42038,-24529,2221,4443,-28972,27561,205294,77555,127739,,222166,20.0,38.32,0.0831,109,168.54,34709.38,0.79,0.6848
4728,Hernandez-Donaldson,False,AU,Carpenterview,Marketplaces,2020,https://hernandez-donaldson.com,Drive reduce name fire father player specific less.,23,hernandez-donaldson,2023,USD,536865,178439,358426,297756,60670,0,60670,5368,10737,49933,18272,392360,19618,372742,,536865,20.0,48.36,0.1166,219,203.54,15865.31,1.15,0.6676
4729,Nelson-Glenn,False,KE,Kathleenside,E-commerce,2023,https://nelson-glenn.com,Picture old sea produce bed thousand military you partner.,17,nelson-glenn,2023,USD,205111,90849,114262,96160,18102,8184,9918,2051,4102,5816,14033,297553,190171,107382,,205111,865.92,2099.61,0.0948,252,67.56,1000.0,14.03,0.5571
4730,Hanna PLC,False,IN,West Erica,Fintech,2015,https://hannaplc.com,High improve project across individual building under I from various.,16,hanna-plc,2023,USD,889371,317427,571944,187052,384892,17903,366989,8893,17787,349202,28291,562192,161281,400911,,889371,1555.41,2372.09,0.1258,3705,20.0,34037.53,0.83,0.6431
4731,Gomez-Miller,False,FR,East Mariostad,AgriTech,2021,https://gomez-miller.com,Bill sure quality purpose rate seek indeed pressure green support.,15,gomez-miller,2023,EUR,576708,342807,233901,165522,68379,13843,54536,5767,11534,43002,20831,347013,17350,329663,,576708,20.0,41.8,0.0708,203,235.8,25948.87,0.8,0.4056
4732,Castillo-Salinas,False,EG,East Tamaratown,E-commerce,2015,https://castillo-salinas.com,Mr event result degree alone.,16,castillo-salinas,2023,USD,708922,315445,393477,293034,100443,541,99902,7089,14178,85724,95515,641025,171331,469694,,708922,20.0,62.04,0.0195,159,370.15,42528.27,2.25,0.555
4733,Strong Group,False,BR,Lake Chelsea,Energy,2011,https://stronggroup.com,Management case watch during one wear add.,17,strong-group,2023,USD,1883542,137648,1745894,923186,822708,0,822708,18835,37670,785038,136255,1113184,330263,782921,,1883542,20.0,19.38,0.0336,4243,36.99,130393.28,1.04,0.9269
4734,Oliver Vance and Bates,False,GB,Jacksonland,Mobility,2018,https://olivervanceandbates.com,Between himself prove read service those it before myself all.,17,oliver-vance-and-bates,2023,USD,1021514,92615,928899,630007,298892,0,298892,10215,20430,278462,18847,667455,36742,630713,,1021514,2060.13,13377.8,0.1266,520,163.68,90711.17,0.21,0.9093
4735,White-Nguyen,False,BR,Thomaston,Fintech,2019,https://white-nguyen.com,Party form last ball.,18,white-nguyen,2023,USD,528365,406531,121834,269984,-148150,0,-148150,5283,10567,-158717,8779,419530,155822,263708,,528365,20.0,61.33,0.1072,144,305.6,20821.32,0.42,0.2306
4736,Yoder Inc,False,ZA,Lake Jessicamouth,Energy,2012,https://yoderinc.com,Add though see later more activity yet present.,14,yoder-inc,2023,USD,2165295,1090683,1074612,1149239,-74627,0,-74627,21652,43305,-117932,123666,1366978,641897,725081,,2165295,664.09,5132.46,0.0817,737,244.81,122606.44,1.01,0.4963
4737,Lawrence LLC,False,AU,East David,Mobility,2023,https://lawrencellc.com,Professional they dark culture participant rather decision population.,21,lawrence-llc,2023,USD,4258115,1832430,2425685,1293124,1132561,8961,1123600,42581,85162,1038438,154200,2465717,481627,1984090,,4258115,1225.1,10248.29,0.0217,3206,110.65,140538.04,1.1,0.5697
4738,Livingston Ltd,False,KE,Jamestown,Energy,2015,https://livingstonltd.com,Former price tree east admit hundred.,13,livingston-ltd,2023,USD,2365475,1319843,1045632,1170810,-125178,22244,-147422,23654,47309,-194731,30195,1314410,656986,657424,,2365475,1971.88,5092.26,0.0124,1110,177.51,101645.42,0.3,0.442
4739,Allen and Sons,False,US,Englishshire,AgriTech,2016,https://allenandsons.com,Through state purpose low.,18,allen-and-sons,2023,USD,449840,130056,319784,176776,143008,0,143008,4498,8996,134012,14583,433028,56599,376429,,449840,92.4,455.48,0.0559,240,155.7,4664.53,3.13,0.7109
4740,Baker Crawford and Pena,False,NG,North Cassie,EdTech,2021,https://bakercrawfordandpena.com,Big stuff style know policy news southern structure maintain station.,17,baker-crawford-and-pena,2023,USD,455461,136646,318815,323756,-4941,18113,-23054,4554,9109,-32163,6665,305178,70122,235056,37955.08,455461,147.47,486.26,0.0344,583,65.0,23557.64,0.28,0.7
4741,Rose-Morgan,False,US,West Dana,AI/ML,2018,https://rose-morgan.com,Rock go simply mention despite always.,25,rose-morgan,2023,USD,2299105,654192,1644913,1230493,414420,0,414420,22991,45982,368438,86317,1287566,305679,981887,,2299105,20.0,72.12,0.0371,1289,148.54,129712.16,0.67,0.7155
4742,Shelton PLC,False,IN,East Jamesfurt,Marketplaces,2018,https://sheltonplc.com,Daughter defense relationship for instead.,17,shelton-plc,2023,USD,570402,212033,358369,179186,179183,29345,149838,5704,11408,138430,53723,476675,73381,403294,,570402,455.43,944.34,0.001,839,56.6,14597.58,3.68,0.6283
4743,Brown-Sanchez,False,TN,Connorville,Energy,2022,https://brown-sanchez.com,Door writer produce long senior style wonder government.,16,brown-sanchez,2023,USD,2325579,725150,1600429,1336504,263925,40571,223354,23255,46511,176843,36647,1297819,64890,1232929,,2325579,184.43,640.83,0.001,1257,154.16,78844.38,0.46,0.6882
4744,Garrett-Young,False,TN,West Pam,Energy,2016,https://garrett-young.com,Actually environment practice southern six about key.,15,garrett-young,2023,USD,1796584,593764,1202820,1203122,-302,28369,-28671,17965,35931,-64602,35345,942776,371280,571496,,1796584,802.05,3843.91,0.0321,509,293.58,59558.81,0.59,0.6695
4745,Lopez and Sons,False,US,Smallberg,AgriTech,2023,https://lopezandsons.com,Career military ago continue few add onto majority ball.,20,lopez-and-sons,2023,USD,153897,54976,98921,11711,87210,6688,80522,1538,3077,77445,4823,256903,12845,244058,,153897,1182.21,5710.22,0.0825,641,20.0,35065.75,0.14,0.6428
4746,Smith and Sons,False,ZA,New Crystal,EdTech,2018,https://smithandsons.com,Worker offer so include individual take newspaper.,18,smith-and-sons,2023,USD,1981392,879011,1102381,99069,1003312,0,1003312,19813,39627,963685,259432,1349824,87948,1261876,165116.0,1981392,456.17,622.38,0.0198,3089,53.45,42985.1,6.04,0.5564
4747,Welch-Hill,False,BR,Catherinehaven,SaaS,2017,https://welch-hill.com,Serve kid decision threat develop.,33,welch-hill,2023,USD,804856,324184,480672,343328,137344,30291,107053,8048,16097,90956,87332,525717,237194,288523,67071.33,804856,187.33,796.13,0.01,3915,17.13,39983.83,2.18,0.5972
4748,Thomas Castro and Evans,False,EG,North Jason,Energy,2015,https://thomascastroandevans.com,Say design behavior drug stock share this.,31,thomas-castro-and-evans,2023,USD,603441,239801,363640,305871,57769,0,57769,6034,12068,45701,87411,569704,140282,429422,,603441,20.0,37.0,0.031,2514,20.0,51471.13,1.7,0.6026
4749,Williams Dennis and Martin,False,KE,Nicholasborough,HealthTech,2014,https://williamsdennisandmartin.com,Sell other radio ok that.,14,williams-dennis-and-martin,2023,USD,2246234,669100,1577134,822209,754925,12582,742343,22462,44924,697419,1367876,2528675,599107,1929568,187186.17,2246234,10.0,33.68,0.001,2301,81.33,42153.66,32.45,0.7021
4750,May-Johnson,False,AU,Port Shawnberg,Marketplaces,2011,https://may-johnson.com,After reason for hotel deep.,16,may-johnson,2023,USD,2502733,846125,1656608,1979395,-322787,26273,-349060,25027,50054,-399114,45069,1469032,119281,1349751,,2502733,1029.83,3960.26,0.1209,10428,20.0,159343.41,0.28,0.6619
4751,Archer Smith and Mccarthy,False,KE,Port Dana,IoT,2018,https://archersmithandmccarthy.com,Enter money example discuss surface.,19,archer-smith-and-mccarthy,2023,USD,1373859,509635,864224,1000732,-136508,0,-136508,13738,27477,-163985,168321,1036172,463487,572685,,1373859,355.35,177.68,0.0365,4709,24.31,66373.37,2.54,0.629
4752,Bell LLC,False,GB,Andersonfort,IoT,2008,https://bellllc.com,Door alone only where high director significant cost.,9,bell-llc,2023,USD,808253,378527,429726,477802,-48076,20604,-68680,8082,16165,-84845,44464,487792,43246,444546,,808253,1148.25,2267.65,0.1112,530,126.98,36070.42,1.23,0.5317
4753,Ellis and Sons,False,ZA,Mckeefort,SaaS,2020,https://ellisandsons.com,Near become we behind chair account will.,20,ellis-and-sons,2023,USD,1633390,504805,1128585,810713,317872,3330,314542,16333,32667,281875,25792,846895,386916,459979,136115.83,1633390,341.27,2354.42,0.0316,3459,39.35,111429.82,0.23,0.6909
4754,Rowe-Gilbert,False,FR,Bryanport,Cybersecurity,2018,https://rowe-gilbert.com,Attorney father big operation night recognize final.,28,rowe-gilbert,2023,EUR,1580060,997265,582795,1285015,-702220,0,-702220,15800,31601,-733821,19000,858337,333599,524738,,1580060,1728.05,4907.87,0.0869,754,174.5,146948.3,0.13,0.3688
4755,Richardson Page and Harris,False,CA,Garciashire,AI/ML,2010,https://richardsonpageandharris.com,Thought send movie example society recently mouth.,21,richardson-page-and-harris,2023,USD,332744,74323,258421,222559,35862,28877,6985,3327,6654,331,53264,374091,53634,320457,,332744,217.68,1237.71,0.001,284,97.59,63388.25,0.84,0.7766
4756,Richardson Nunez and Shaw,False,BR,Lake Amy,SaaS,2024,https://richardsonnunezandshaw.com,Chance charge anything station politics identify value threat.,20,richardson-nunez-and-shaw,2023,USD,1302468,95390,1207078,327491,879587,0,879587,13024,26049,853538,670289,1374639,493816,880823,108539.0,1302468,10.0,28.45,0.0153,1181,91.88,49870.82,13.44,0.9268
4757,Ward Davis and Strong,False,DE,Ashleyfurt,E-commerce,2014,https://warddavisandstrong.com,Music local all thank career building leg.,21,ward-davis-and-strong,2023,EUR,1911671,511053,1400618,1325274,75344,0,75344,19116,38233,37111,63350,1158111,386999,771112,,1911671,574.38,780.12,0.0344,601,264.9,110747.68,0.57,0.7327
4758,Austin Ltd,False,GB,Lake Elizabethside,AI/ML,2020,https://austinltd.com,Might clearly discussion surface pay across safe attorney offer reason.,13,austin-ltd,2023,USD,1572955,767785,805170,244367,560803,16465,544338,15729,31459,512879,105404,956587,175176,781411,,1572955,20.0,10.0,0.0306,6553,20.0,7458.35,14.13,0.5119
4759,Arnold-Perez,False,ZA,Harrisfurt,EdTech,2017,https://arnold-perez.com,Central rate item contain investment hair.,20,arnold-perez,2023,USD,331520,142129,189391,234422,-45031,29273,-74304,3315,6630,-80934,21488,234837,81083,153754,27626.67,331520,186.43,506.78,0.0188,618,44.7,32972.7,0.65,0.5713
4760,Diaz Group,False,AU,Andersonbury,HealthTech,2019,https://diazgroup.com,Process surface wish car exactly read fast up.,20,diaz-group,2023,USD,725009,301162,423847,95068,328779,35397,293382,7250,14500,278882,28268,428090,21404,406686,60417.42,725009,206.8,1297.8,0.001,887,68.06,25122.36,1.13,0.5846
4761,Lopez Williams and Gomez,False,CA,Sandraview,Energy,2014,https://lopezwilliamsandgomez.com,Better difference difficult argue relationship expert fact safe.,19,lopez-williams-and-gomez,2023,USD,909465,339452,570013,514127,55886,0,55886,9094,18189,37697,108295,732379,36618,695761,,909465,204.31,522.04,0.0516,842,89.99,11062.1,9.79,0.6268
4762,Henderson Ltd,False,NG,Parkerland,Cybersecurity,2015,https://hendersonltd.com,History child medical true area rise.,17,henderson-ltd,2023,USD,3296398,718665,2577733,1802542,775191,8166,767025,32963,65927,701098,20117,1820538,543466,1277072,,3296398,238.59,323.85,0.043,3893,70.55,147710.01,0.14,0.782
4763,Sherman-Rodriguez,False,US,Dunlaphaven,SaaS,2008,https://sherman-rodriguez.com,Through certain create water pull.,18,sherman-rodriguez,2023,USD,613696,265638,348058,137417,210641,2346,208295,6136,12273,196022,59408,417459,214967,202492,51141.33,613696,10.0,35.41,0.0392,586,87.14,6896.75,8.61,0.5672
4764,Sanders Howell and Burton,False,AU,North Kiaraside,AI/ML,2011,https://sandershowellandburton.com,Expect feeling player financial rather.,16,sanders-howell-and-burton,2023,USD,1335244,530007,805237,111649,693588,45800,647788,13352,26704,621084,48138,719437,193780,525657,,1335244,20.0,69.25,0.0517,5563,20.0,47582.21,1.01,0.6031
4765,Baker-Lyons,False,NG,West Wanda,Energy,2023,https://baker-lyons.com,White out yard arrive she bank.,21,baker-lyons,2023,USD,2488992,623352,1865640,1237422,628218,2669,625549,24889,49779,575770,143980,1536322,301447,1234875,,2488992,639.64,1925.33,0.05,4532,45.76,131633.88,1.09,0.7496
4766,White Simon and Wells,False,US,Lake Kiara,HealthTech,2017,https://whitesimonandwells.com,Statement reach next issue military century sometimes process.,20,white-simon-and-wells,2023,USD,2011420,647393,1364027,1599530,-235503,0,-235503,20114,40228,-275731,96947,1171463,311913,859550,167618.33,2011420,431.08,431.08,0.001,2363,70.92,106154.5,0.91,0.6781
4767,Webb-Jordan,False,IN,Jenkinsstad,SaaS,2015,https://webb-jordan.com,Fact threat however last line political morning free rich understand.,20,webb-jordan,2023,USD,2348318,1185478,1162840,1752333,-589493,0,-589493,23483,46966,-636459,72979,1293560,499565,793995,195693.17,2348318,258.71,1874.36,0.0375,22834,8.57,177745.0,0.41,0.4952
4768,Carrillo PLC,False,BR,Dominguezport,Cybersecurity,2015,https://carrilloplc.com,Today morning kitchen up current long Mr lay week check.,20,carrillo-plc,2023,USD,2872722,805172,2067550,1660939,406611,3842,402769,28727,57454,345315,2329526,3851685,779645,3072040,,2872722,505.49,1425.22,0.084,914,261.78,133655.87,17.43,0.7197
4769,Saunders-Ramos,False,US,East Mary,AgriTech,2011,https://saunders-ramos.com,Body indicate from price past human answer reality card recognize.,31,saunders-ramos,2023,USD,155456,83165,72291,115958,-43667,18623,-62290,1554,3109,-65399,2507,186978,99480,87498,,155456,1274.86,3373.67,0.0937,105,123.24,23098.78,0.11,0.465
4770,Summers Meza and Ryan,False,AU,South Kyleshire,Energy,2020,https://summersmezaandryan.com,Report impact scientist everything political TV central gas.,26,summers-meza-and-ryan,2023,USD,399621,96217,303404,107274,196130,27889,168241,3996,7992,160249,16957,337300,141543,195757,,399621,20.0,72.11,0.0622,330,100.62,35257.3,0.48,0.7592
4771,Rodriguez Anderson and Byrd,False,GB,West Donnaland,Cybersecurity,2016,https://rodriguezandersonandbyrd.com,College speech minute garden talk whatever game.,18,rodriguez-anderson-and-byrd,2023,USD,6325328,2359253,3966075,3246046,720029,24319,695710,63253,126506,569204,1937128,5147948,605549,4542399,,6325328,1139.53,1959.21,0.0466,8485,62.12,285134.14,6.79,0.627
4772,Lara King and Torres,False,FR,West Bruce,Fintech,2010,https://larakingandtorres.com,Understand him pull tonight onto within give art economy simply.,19,lara-king-and-torres,2023,EUR,804332,242317,562015,213595,348420,16934,331486,8043,16086,315400,13840,446880,195973,250907,,804332,52.23,139.65,0.0411,3351,20.0,1000.0,13.84,0.6987
4773,Vargas-Walton,False,NG,Lake Veronica,Cybersecurity,2021,https://vargas-walton.com,Executive exist military good technology this.,20,vargas-walton,2023,USD,748788,290309,458479,217879,240600,24286,216314,7487,14975,201339,62486,581667,391570,190097,,748788,2314.67,5768.44,0.008,269,231.55,1000.0,62.49,0.6123
4774,Ramos Group,False,US,South Timothyland,SaaS,2012,https://ramosgroup.com,Over long factor discuss your blood this.,21,ramos-group,2023,USD,7356685,3328746,4027939,1182440,2845499,30964,2814535,73566,147133,2667402,452410,4266179,1156449,3109730,613057.08,7356685,288.26,288.26,0.0141,8244,74.36,81944.22,5.52,0.5475
4775,Williams Norman and Anderson,False,FR,East Jeremy,Cybersecurity,2020,https://williamsnormanandanderson.com,Writer weight lead whom wonder.,15,williams-norman-and-anderson,2023,EUR,2342034,1242147,1099887,392125,707762,0,707762,23420,46840,660922,79144,1377456,704308,673148,,2342034,482.58,2296.59,0.0769,1023,190.6,43862.15,1.8,0.4696
4776,Hines Ltd,False,DE,Lake Danielton,IoT,2017,https://hinesltd.com,Half explain teacher hour perform.,23,hines-ltd,2023,EUR,2026522,381953,1644569,452531,1192038,0,1192038,20265,40530,1151508,34920,1208795,837108,371687,,2026522,666.97,3113.22,0.1074,852,198.08,42168.7,0.83,0.8115
4777,Moore Group,False,AU,South Georgeton,E-commerce,2021,https://mooregroup.com,Public eye administration know alone tonight even yeah goal bring.,16,moore-group,2023,USD,1868953,790424,1078529,1513490,-434961,8482,-443443,18689,37379,-480822,126954,1154287,190845,963442,,1868953,349.16,848.03,0.0197,1978,78.7,140650.92,0.9,0.5771
4778,Ochoa Montgomery and Burns,False,NG,Joycechester,Cybersecurity,2008,https://ochoamontgomeryandburns.com,Generation present I suffer happy drive.,32,ochoa-montgomery-and-burns,2023,USD,2555079,667776,1887303,963038,924265,0,924265,25550,51101,873164,202598,1508499,328077,1180422,,2555079,822.02,2219.77,0.0278,1331,159.87,138297.8,1.46,0.7386
4779,Daniels Ross and Huerta,False,IN,Reidmouth,AgriTech,2022,https://danielsrossandhuerta.com,Expect food offer accept.,24,daniels-ross-and-huerta,2023,USD,4013243,1244906,2768337,227833,2540504,5347,2535157,40132,80264,2454893,127924,2296051,1122089,1173962,,4013243,927.56,4769.18,0.0177,2961,112.92,40051.62,3.19,0.6898
4780,Perry Lynn and Holmes,False,DE,South Virginia,Fintech,2016,https://perrylynnandholmes.com,Process maintain finally color picture attack your white who special available.,21,perry-lynn-and-holmes,2023,EUR,755103,190412,564691,361738,202953,0,202953,7551,15102,187851,67784,488527,24426,464101,,755103,20.0,91.0,0.074,3146,20.0,9308.78,7.28,0.7478
4781,Harris Zimmerman and Hall,False,BR,Jamesville,IoT,2023,https://harriszimmermanandhall.com,During brother reason rather major appear result.,22,harris-zimmerman-and-hall,2023,USD,476339,185584,290755,101773,188982,0,188982,4763,9526,179456,26082,457720,35326,422394,,476339,1315.42,657.71,0.1254,153,258.06,24574.27,1.06,0.6104
4782,Flores-Castillo,False,TN,Port Ashley,AgriTech,2021,https://flores-castillo.com,Stuff evidence official parent become dream rule difficult listen participant.,18,flores-castillo,2023,USD,298876,117541,181335,68642,112693,0,112693,2988,5977,106716,4697,160421,59252,101169,,298876,513.73,1598.09,0.001,234,106.03,1000.0,4.7,0.6067
4783,Jones-Palmer,False,FR,East Christinafurt,EdTech,2021,https://jones-palmer.com,Appear investment executive accept decide ahead senior loss international.,14,jones-palmer,2023,EUR,101568,31734,69834,62449,7385,35790,-28405,1015,2031,-30436,8981,79505,24658,54847,8464.0,101568,10.0,50.54,0.0163,1692,5.0,1000.0,8.98,0.6876
4784,Wong Carter and Smith,False,NG,South Andrew,AgriTech,2023,https://wongcarterandsmith.com,Exist newspaper Democrat writer exactly stage me produce.,11,wong-carter-and-smith,2023,USD,940339,195927,744412,383052,361360,19731,341629,9403,18806,322823,91894,692201,149275,542926,,940339,568.87,1617.42,0.1857,3918,20.0,46258.57,1.99,0.7916
4785,Ramos LLC,False,IN,Kellyland,Cybersecurity,2024,https://ramosllc.com,World money national candidate must Congress early.,18,ramos-llc,2023,USD,928184,173338,754846,519961,234885,0,234885,9281,18563,216322,15771,534452,202010,332442,,928184,307.98,1423.66,0.0203,877,88.17,30949.83,0.51,0.8133
4786,Bell Thomas and Perez,False,DE,East Amanda,Energy,2008,https://bellthomasandperez.com,Wrong himself beyond long over.,22,bell-thomas-and-perez,2023,EUR,832897,326613,506284,763780,-257496,17877,-275373,8328,16657,-292030,324154,788424,450891,337533,,832897,1526.08,8791.46,0.0511,294,235.44,67477.87,4.8,0.6079
4787,Williams Rosales and Clark,False,EG,North Alexborough,Cybersecurity,2020,https://williamsrosalesandclark.com,Able wall place spring goal.,16,williams-rosales-and-clark,2023,USD,495493,228834,266659,117659,149000,9652,139348,4954,9909,129439,42048,442146,209190,232956,,495493,266.53,1437.37,0.001,253,163.04,1170.3,35.93,0.5382
4788,Casey-Martinez,False,CA,Lake Josechester,AI/ML,2011,https://casey-martinez.com,Level technology its arrive vote drop task news son.,16,casey-martinez,2023,USD,2569320,815773,1753547,645153,1108394,32651,1075743,25693,51386,1024357,154428,1479804,484720,995084,,2569320,20.0,41.3,0.001,1463,146.26,57433.91,2.69,0.6825
4789,Greene Inc,False,EG,New Danielview,EdTech,2008,https://greeneinc.com,Return own bring high give age why while memory own.,17,greene-inc,2023,USD,971865,277398,694467,519717,174750,32450,142300,9718,19437,122863,90876,730379,461027,269352,80988.75,971865,10.0,10.0,0.1189,16197,5.0,18771.58,4.84,0.7146
4790,Howell-Austin,False,TN,Lake Paul,EdTech,2022,https://howell-austin.com,Tough own pick instead both party along.,16,howell-austin,2023,USD,792751,351001,441750,144877,296873,0,296873,7927,15855,281018,8313,443568,133235,310333,66062.58,792751,10.0,41.88,0.0213,559,118.16,28368.52,0.29,0.5572
4791,Meyer and Sons,False,CA,Lake Melanie,Mobility,2011,https://meyerandsons.com,Piece coach dream deep first quickly word let also partner.,25,meyer-and-sons,2023,USD,1656679,895639,761040,238272,522768,15811,506957,16566,33133,473824,425636,1365566,672227,693339,,1656679,1114.2,557.1,0.001,6902,20.0,27376.89,15.55,0.4594
